"","pval","rank","FDRcrit","FDR","p.adj","p.adjResult"
"MHCII",0.000278173045489974,1,0.000316455696202532,TRUE,1.76058889550616e-06,TRUE
"ncWNT",0.000552528950791668,2,0.000632911392405063,TRUE,3.49701867589664e-06,TRUE
"LIGHT",0.00221935877705555,3,0.000949367088607595,FALSE,1.40465745383263e-05,TRUE
"ADGRG",0.00264005704868189,4,0.00126582278481013,FALSE,1.67092218271006e-05,TRUE
"SEMA7",0.00354327979746708,5,0.00158227848101266,FALSE,2.24258215029562e-05,TRUE
"EPHA",0.00387927734299654,6,0.00189873417721519,FALSE,2.45523882468135e-05,TRUE
"GP1BA",0.00395078717817891,7,0.00221518987341772,FALSE,2.50049821403728e-05,TRUE
"MIF",0.00870719525271215,8,0.00253164556962025,FALSE,5.5108830713368e-05,TRUE
"DHT",0.00954007440705911,9,0.00284810126582278,FALSE,6.03802177661969e-05,TRUE
"ADGRB",0.00971994942825527,10,0.00316455696202532,FALSE,6.15186672674384e-05,TRUE
"AGRN",0.0111829097420851,11,0.00348101265822785,FALSE,7.07779097600322e-05,TRUE
"FLT3",0.0112037606518036,12,0.00379746835443038,FALSE,7.09098775430611e-05,TRUE
"HGF",0.0154399885432938,13,0.00411392405063291,FALSE,9.77214464765428e-05,TRUE
"CALCR",0.0162190915690303,14,0.00443037974683544,FALSE,0.000102652478285002,TRUE
"MAG",0.0174547432361882,15,0.00474683544303798,FALSE,0.000110473058456888,TRUE
"KIT",0.02071736491248,16,0.00506329113924051,FALSE,0.000131122562737215,TRUE
"DHEAS",0.0220253355894869,17,0.00537974683544304,FALSE,0.000139400858161309,TRUE
"EPHB",0.022537101906982,18,0.00569620253164557,FALSE,0.000142639885487228,TRUE
"KLK",0.0253396128318337,19,0.0060126582278481,FALSE,0.000160377296404011,TRUE
"NPY",0.0305625049400075,20,0.00632911392405063,FALSE,0.000193433575569668,TRUE
"DHEA",0.0331622676945476,21,0.00664556962025316,FALSE,0.000209887770218656,TRUE
